1,0,23,0,23,1000,2000,
2,1,24,23,23,976,2000,
3,1,0,34,34,22,2000,
4,1,24,58,34,976,1976,
5,1,0,58,23,22,1965,
6,0,58,24,34,976,33,
7,1,24,93,34,976,1941,
8,1,0,93,34,22,1941,
9,0,47,59,23,976,33,
10,0,58,94,34,976,1906,
11,1,48,82,23,952,33,
12,1,24,128,34,33,1906,
13,1,0,117,23,22,1906,
14,1,59,47,23,941,33,
15,0,47,94,23,33,33,
16,1,0,152,34,22,1882,
17,0,47,24,23,33,33,
18,0,93,24,34,941,22,
19,0,47,129,23,33,1871,
20,0,82,94,23,941,1906,
21,0,117,24,23,906,22,
22,1,83,128,34,917,1906,
23,1,83,117,23,917,33,
24,1,83,152,23,917,1871,
25,0,71,59,23,952,22,
26,0,106,153,23,917,1847,
27,0,106,94,23,917,22,
28,1,107,187,34,893,1847,
29,0,106,59,34,928,22,
30,1,59,128,34,22,1906,
31,0,130,153,23,893,33,
32,1,0,187,34,22,1847,
33,0,47,0,23,976,22,
34,0,130,59,23,893,22,
35,0,165,153,34,869,33,
36,1,0,222,34,22,1812,
37,0,71,0,23,952,22,
38,0,106,129,23,917,22,
39,1,166,176,23,834,33,
40,0,141,188,34,893,1812,
41,0,106,0,34,928,22,
42,0,165,59,34,869,22,
43,1,59,152,23,22,1871,
44,0,141,94,34,893,22,
45,0,154,153,23,33,33,
46,1,0,257,34,22,1777,
47,1,59,187,34,22,1847,
48,0,130,129,23,893,22,
49,1,0,292,34,22,1742,
50,0,200,59,34,834,22,
51,0,130,188,23,33,1812,
52,0,152,24,34,882,22,
53,0,235,59,34,799,22,
54,1,24,152,23,22,1871,
55,0,200,153,34,834,22,
56,1,107,211,23,22,1812,
57,0,141,0,34,893,22,
58,0,165,129,34,869,22,
59,0,224,153,23,799,22,
60,1,142,211,23,858,1812,
61,1,83,187,34,22,1847,
62,0,248,153,23,775,22,
63,0,270,59,34,764,22,
64,0,200,129,34,834,22,
65,1,83,222,34,22,1812,
66,0,176,188,34,858,22,
67,1,0,327,34,22,1707,
68,0,294,59,23,729,22,
69,1,24,176,23,22,1847,
70,1,59,211,23,22,1812,
71,0,235,129,34,799,22,
72,1,83,246,23,22,1777,
73,0,272,153,23,751,22,
74,1,142,235,23,858,1788,
75,0,329,59,34,705,22,
76,1,59,246,34,22,1788,
77,1,83,281,34,22,1753,
78,0,176,212,34,858,22,
79,1,0,362,34,22,1672,
80,0,165,0,23,858,22,
81,0,187,24,34,847,22,
82,0,364,59,34,670,22,
83,0,200,188,23,823,22,
84,0,200,212,23,823,22,
85,1,142,259,23,858,1764,
86,0,200,0,34,834,22,
87,0,222,24,34,812,22,
88,0,296,153,23,727,22,
89,0,165,260,23,858,1740,
90,0,246,24,23,777,22,
91,0,331,153,34,703,22,
92,1,107,246,34,22,1788,
93,1,0,386,23,22,1637,
94,1,59,270,23,22,1753,
95,0,270,129,34,764,22,
96,1,107,281,34,22,1753,
97,1,142,294,34,22,1740,
98,0,281,24,34,753,22,
99,0,305,129,34,729,22,
100,0,355,153,23,668,22,
101,1,107,316,34,22,1718,
102,0,305,24,23,718,22,
103,1,0,421,34,22,1613,
