999999,1,1,
4,1,1,
7,22,1,
5,25,2,
2,25,5,
25,7,1,
25,5,2,
9,7,3,
7,7,2,
7,276,1,
14,276,1,
18,7,1,
18,364,1,
5,14,2,
14,14,2,
7,289,1,
5,289,1,
9,14,2,
9,305,1,
7,386,1,
5,418,1,
2,418,1,
11,7,1,
11,16,1,
7,16,1,
38,7,1,
38,937,1,
7,25,2,
14,25,5,
14,9,1,
25,267,1,
18,337,1,
59,25,1,
95,7,1,
95,12,1,
25,384,2,
41,384,1,
4,95,1,
21,25,4,
48,25,3,
75,14,1,
94,25,2,
121,21,1,
121,18,1,
68,25,4,
41,25,3,
95,21,1,
95,25,5,
95,551,1,
25,508,1,
25,454,1,
21,481,1,
18,612,1,
25,21,1,
25,48,1,
41,21,1,
95,578,1,
4,806,1,
18,25,7,
45,18,3,
25,18,5,
18,45,1,
45,25,4,
45,778,1,
344,25,1,
344,18,1,
45,872,1,
25,825,1,
18,852,1,
142,25,1,
196,18,1,
18,75,3,
95,18,2,
25,437,1,
68,464,1,
25,75,2,
41,75,1,
25,547,2,
41,574,1,
29,25,2,
25,25,2,
83,21,1,
75,25,1,
75,748,1,
6,829,1,
2,3,2,
3,7,1,
3,2,1,
1,2,2,
5,17,1,
