200,90,2,
200,50,1,
200,198,1,
200,50,1,
50,260,1,
50,512,1,
96,250,1,
96,260,1,
50,248,1,
44,500,1,
200,50,2,
200,198,1,
200,194,1,
46,50,1,
50,94,1,
198,94,1,
50,194,1,
198,194,1,
46,446,1,
16,850,1,
200,148,1,
250,38,1,
46,90,1,
90,50,1,
90,198,1,
50,50,2,
50,552,1,
38,656,1,
50,50,1,
50,352,1,
50,50,2,
50,804,1,
102,50,1,
102,856,1,
50,50,1,
448,50,1,
50,246,1,
448,246,1,
90,50,1,
90,198,1,
90,248,1,
50,248,1,
250,500,1,
454,250,1,
454,248,1,
5440,90,1,
50,408,1,
250,408,1,
5136,408,1,
500,200,1,
250,296,1,
248,296,1,
850,250,1,
850,154,1,
50,498,1,
798,498,1,
4588,498,1,
